Provider Number,Facility Name,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,SWR category text,PPPW category text
362549,FMC - HEART OF OHIO DIALYSIS CTR,Profit,FRESENIUS MEDICAL CARE,24,As Expected,99,149,1345,160,1433,As Expected,As Expected,As Expected,122,189,485,As Expected,As Expected,147,147,1323,0,,As Expected,Worse than Expected
362551,DAVITA WILLOW DIALYSIS CENTER,Profit,DAVITA,18,As Expected,30,49,415,50,410,As Expected,As Expected,As Expected,40,46,174,As Expected,As Expected,49,49,391,0,,Not Available,As Expected
362660,DAVITA HOME DIALYSIS SERVICES OF SANDUSKY INC,Profit,DAVITA,0,Not Available,12,24,140,25,159,As Expected,As Expected,As Expected,16,14,55,Not Available,Not Available,0,0,,0,,Not Available,As Expected
362661,KIDNEY CENTER OF COLUMBUS SOUTH,Profit,AMERICAN RENAL ASSOCIATES,20,As Expected,31,57,524,58,535,As Expected,As Expected,As Expected,42,68,220,As Expected,As Expected,58,58,535,0,,Not Available,As Expected
392651,FRESENIUS KIDNEY CARE - DONORA,Profit,FRESENIUS MEDICAL CARE,13,As Expected,48,78,676,85,709,As Expected,As Expected,As Expected,60,64,259,Better than Expected,As Expected,64,64,520,0,,As Expected,As Expected
392653,FRESENIUS KIDNEY CARE - CITYLINE,Profit,FRESENIUS MEDICAL CARE,17,As Expected,39,49,473,51,461,As Expected,As Expected,As Expected,40,66,200,As Expected,As Expected,51,51,469,0,,Not Available,As Expected
392656,"USRC HUNTINGDON, LLC",Profit,"US RENAL CARE, INC.",13,As Expected,39,53,480,56,499,As Expected,As Expected,As Expected,45,33,230,As Expected,As Expected,53,53,484,0,,Not Available,As Expected
392657,DCI PARKS BEND,Non-Profit,"DIALYSIS CLINIC, INC.",19,As Expected,24,39,338,44,366,As Expected,As Expected,As Expected,29,46,160,As Expected,As Expected,39,39,306,0,,Not Available,As Expected
392658,FRESENIUS KIDNEY CARE  - MOUNT AIRY,Profit,FRESENIUS MEDICAL CARE,39,As Expected,130,200,1967,210,1995,As Expected,As Expected,Better than Expected,152,143,643,Better than Expected,As Expected,197,197,1911,0,,As Expected,Better than Expected
392798,DAVITA PENN HILLS DIALYSIS,Profit,DAVITA,25,As Expected,65,110,960,115,974,As Expected,As Expected,As Expected,79,122,287,Better than Expected,As Expected,114,114,1001,0,,Not Available,As Expected
392800,DAVITA HARMARVILLE DIALYSIS,Profit,DAVITA,13,As Expected,23,52,382,61,431,As Expected,As Expected,Worse than Expected,26,33,132,As Expected,As Expected,50,50,347,0,,Not Available,As Expected
382531,PNRS EASTERN OREGON DIALYSIS CLINIC,Profit,FRESENIUS MEDICAL CARE,12,As Expected,33,53,455,56,476,As Expected,As Expected,As Expected,42,24,149,As Expected,As Expected,46,46,380,0,,Not Available,As Expected
382532,FMC LEBANON OREGON,Profit,FRESENIUS MEDICAL CARE,21,As Expected,45,67,659,71,674,As Expected,As Expected,As Expected,50,59,217,As Expected,As Expected,70,70,665,0,,Not Available,As Expected
382534,DAVITA LAKE ROAD DIALYSIS,Profit,DAVITA,21,As Expected,60,126,1147,133,1182,As Expected,As Expected,As Expected,69,64,300,As Expected,As Expected,132,132,1174,0,,As Expected,As Expected
362746,FMC-LIBERTY DIALYSIS-KENWOOD,Profit,FRESENIUS MEDICAL CARE,24,As Expected,95,147,1293,150,1327,Worse than Expected,As Expected,Better than Expected,119,178,478,Better than Expected,Worse than Expected,122,122,1065,0,,As Expected,As Expected
362747,FMC - LIBERTY NORWOOD,Profit,FRESENIUS MEDICAL CARE,24,As Expected,98,150,1416,156,1455,Worse than Expected,As Expected,As Expected,115,186,473,As Expected,Worse than Expected,129,129,1250,0,,As Expected,Worse than Expected
362748,DAVITA RIVERS EDGE DIALYSIS,Profit,DAVITA,12,As Expected,32,47,391,49,416,As Expected,As Expected,As Expected,36,33,155,As Expected,As Expected,48,48,416,0,,Not Available,As Expected
362749,DAVITA VILLA OF GREAT NORTHERN,Profit,DAVITA,8,As Expected,32,46,384,53,413,Worse than Expected,Worse than Expected,As Expected,37,71,142,As Expected,As Expected,52,52,408,0,,Not Available,As Expected
362750,DAVITA HIGHLAND COUNTY DIALYSIS,Profit,DAVITA,9,Not Available,4,0,,0,,Not Available,Not Available,As Expected,7,0,55,Not Available,Not Available,0,0,,0,,Not Available,Not Available
432505,DAVITA MITCHELL DIALYSIS,Profit,DAVITA,12,Not Available,9,15,114,21,125,As Expected,Not Available,Worse than Expected,11,8,73,As Expected,As Expected,20,20,126,0,,Not Available,Worse than Expected
392845,DAVITA ST LUKES WHITEHALL DIALYSIS,Profit,DAVITA,13,As Expected,25,38,242,39,262,As Expected,As Expected,Better than Expected,32,29,85,As Expected,As Expected,40,40,265,0,,Not Available,As Expected
392846,"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",Profit,FRESENIUS MEDICAL CARE,13,As Expected,20,38,318,40,341,As Expected,As Expected,As Expected,26,28,78,As Expected,As Expected,40,40,342,0,,Not Available,As Expected
392847,NCPDC KIDNEY CENTER LLC,Profit,"NCPDC KIDNEY CENTER, LLC",12,Worse than Expected,47,57,273,70,314,As Expected,As Expected,As Expected,52,47,160,Worse than Expected,As Expected,54,54,173,0,,Better than Expected,As Expected
392848,"DIALYSIS CENTER OF WEST PHILADELPHIA, LLC",Profit,AMERICAN RENAL ASSOCIATES,33,As Expected,57,136,1230,139,1260,Worse than Expected,As Expected,As Expected,80,130,291,As Expected,As Expected,139,139,1260,0,,As Expected,As Expected
392849,DIALYSIS CLINIC INC - CANTERBURY,Non-Profit,"DIALYSIS CLINIC, INC.",6,Not Available,10,19,141,20,146,As Expected,As Expected,As Expected,14,15,32,As Expected,As Expected,19,19,139,0,,Not Available,Not Available
422611,DAVITA GREER SOUTH DIALYSIS,Profit,DAVITA,21,As Expected,61,93,752,101,808,As Expected,As Expected,As Expected,72,67,288,As Expected,As Expected,101,101,806,0,,As Expected,As Expected
422612,DCI GOOSE CREEK INC,Non-Profit,"DIALYSIS CLINIC, INC.",17,As Expected,50,67,569,69,583,As Expected,As Expected,As Expected,56,57,197,As Expected,As Expected,69,69,591,0,,As Expected,As Expected
422613,FRESENIUS OF YORK,Profit,FRESENIUS MEDICAL CARE,21,As Expected,62,85,825,90,864,As Expected,As Expected,As Expected,73,78,274,As Expected,As Expected,91,91,873,0,,As Expected,As Expected
422614,FRESENIUS MEDICAL CARE CHERAW,Profit,FRESENIUS MEDICAL CARE,21,As Expected,81,99,910,108,961,As Expected,As Expected,As Expected,94,99,372,As Expected,As Expected,109,109,975,1,3,As Expected,As Expected
442505,DCI CHATTANOOGA 3RD ST,Non-Profit,"DIALYSIS CLINIC, INC.",24,As Expected,64,87,884,89,876,As Expected,As Expected,As Expected,69,97,310,As Expected,As Expected,71,71,714,0,,As Expected,As Expected
392893,BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA INC,Profit,FRESENIUS MEDICAL CARE,12,Not Available,0,1,1,1,1,Not Available,Not Available,Not Available,0,0,0,Not Available,Not Available,1,1,1,0,,Not Available,Not Available
422527,DCI EAST COOPER,Non-Profit,"DIALYSIS CLINIC, INC.",16,As Expected,30,47,390,47,403,As Expected,As Expected,Worse than Expected,38,39,160,As Expected,As Expected,44,44,358,0,,Not Available,As Expected
422528,DAVITA WALTERBORO DIALYSIS,Profit,DAVITA,25,As Expected,91,136,1263,138,1287,As Expected,As Expected,Worse than Expected,102,122,492,As Expected,As Expected,119,119,1067,0,,As Expected,As Expected
422529,CENTRAL COLUMBIA KIDNEY CENTER,Profit,AMERICAN RENAL ASSOCIATES,25,Worse than Expected,36,110,1003,118,1053,As Expected,As Expected,As Expected,86,103,329,As Expected,As Expected,98,98,850,0,,As Expected,As Expected
422530,DARLINGTON DIALYSIS CENTER INC,Profit,FRESENIUS MEDICAL CARE,20,As Expected,69,82,752,94,774,As Expected,Worse than Expected,As Expected,75,117,332,Better than Expected,As Expected,95,95,787,0,,As Expected,As Expected
552593,ANTELOPE VALLEY KIDNEY INSTITUTE,Profit,INDEPENDENT,20,As Expected,111,204,2005,211,2037,Better than Expected,As Expected,As Expected,125,94,502,Better than Expected,As Expected,164,164,1560,0,,As Expected,As Expected
552594,DAVITA EXETER DIALYSIS,Profit,DAVITA,12,As Expected,65,88,767,95,785,As Expected,As Expected,As Expected,72,62,282,As Expected,As Expected,99,99,811,0,,As Expected,As Expected
552595,FMC-MISSION VIEJO,Profit,FRESENIUS MEDICAL CARE,18,As Expected,36,101,848,106,899,As Expected,As Expected,As Expected,45,49,215,As Expected,As Expected,101,101,846,0,,As Expected,As Expected
502600,PUGET SOUND KIDNEY CENTERS-LAKEWOOD,Profit,PUGET SOUND KIDNEY CENTERS,29,Not Available,1,1,2,0,0,Not Available,Not Available,Not Available,1,0,1,Not Available,Not Available,1,1,2,0,,Not Available,Not Available
502601,RAINIER BEACH KIDNEY CENTER,Non-Profit,NORTHWEST KIDNEY CENTERS,12,Not Available,0,0,,0,,Not Available,Not Available,Not Available,0,0,0,Not Available,Not Available,0,0,,0,,Not Available,Not Available
392850,"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",Profit,FRESENIUS MEDICAL CARE,2,As Expected,42,66,635,69,637,As Expected,As Expected,As Expected,50,43,124,Not Available,Not Available,5,5,51,0,,Not Available,Better than Expected
402551,FRESENIUS RIO GRANDE,Profit,FRESENIUS MEDICAL CARE,25,Worse than Expected,94,168,1407,174,1458,As Expected,As Expected,As Expected,103,113,356,As Expected,As Expected,174,174,1465,0,,Worse than Expected,As Expected
402552,ATLANTIS RENAL CENTRE OF SAN GERMAN,Profit,ATLANTIS HEALTHCARE GROUP,21,Worse than Expected,77,125,1177,131,1242,Worse than Expected,As Expected,Worse than Expected,78,107,326,Better than Expected,As Expected,131,131,1242,0,,As Expected,As Expected
402553,FMC LAS PIEDRAS,Profit,FRESENIUS MEDICAL CARE,20,Worse than Expected,40,87,842,95,890,As Expected,As Expected,As Expected,46,53,175,As Expected,As Expected,93,93,882,0,,Not Available,As Expected
402554,FMC OF JUANA DIAZ,Profit,FRESENIUS MEDICAL CARE,20,As Expected,53,83,728,86,764,As Expected,As Expected,As Expected,57,55,177,As Expected,As Expected,86,86,765,0,,Not Available,As Expected
442507,DCI MADISON,Non-Profit,"DIALYSIS CLINIC, INC.",26,As Expected,36,44,474,47,475,As Expected,As Expected,As Expected,39,44,146,Better than Expected,As Expected,48,48,490,0,,As Expected,As Expected
442511,DAVITA COOKEVILLE DIALYSIS,Profit,DAVITA,18,Worse than Expected,108,140,1230,147,1275,As Expected,As Expected,As Expected,123,162,531,As Expected,As Expected,81,81,638,0,,As Expected,As Expected
442513,FMC OAK RIDGE,Profit,FRESENIUS MEDICAL CARE,17,Worse than Expected,55,71,590,84,634,As Expected,As Expected,As Expected,57,85,299,As Expected,As Expected,72,72,555,0,,As Expected,As Expected
442514,DCI EAST RIDGE,Non-Profit,"DIALYSIS CLINIC, INC.",24,As Expected,39,54,445,55,468,As Expected,As Expected,As Expected,46,49,189,As Expected,As Expected,57,57,481,0,,Not Available,As Expected
442517,DAVITA MORRISTOWN DIALYSIS,Profit,DAVITA,20,As Expected,33,40,328,47,364,As Expected,As Expected,As Expected,35,30,134,As Expected,As Expected,46,46,363,0,,Not Available,As Expected
422531,FMC OF NEWBERRY,Profit,FRESENIUS MEDICAL CARE,22,As Expected,76,100,989,105,992,As Expected,As Expected,As Expected,80,85,302,As Expected,As Expected,103,103,982,0,,As Expected,As Expected
422633,DAVITA CHARLES TOWNE HOME PROGRAM,Profit,DAVITA,4,As Expected,27,56,423,58,450,As Expected,As Expected,As Expected,36,32,208,Not Available,Not Available,3,3,6,0,,Better than Expected,As Expected
422634,"SPARTANBURG DIALYSIS, LLC",Profit,AMERICAN RENAL ASSOCIATES,24,As Expected,49,121,1149,128,1195,As Expected,As Expected,As Expected,100,96,433,Better than Expected,As Expected,96,96,801,0,,As Expected,As Expected
422635,KEOWEE DIALYSIS CENTER LLC,Profit,AMERICAN RENAL ASSOCIATES,17,Not Available,21,73,638,78,677,As Expected,As Expected,Worse than Expected,61,43,263,As Expected,As Expected,69,69,619,0,,As Expected,As Expected
422636,DCI ARCHDALE,Profit,"DIALYSIS CLINIC, INC.",21,As Expected,86,128,1104,131,1118,As Expected,As Expected,As Expected,107,137,386,Better than Expected,As Expected,86,86,711,4,33,Better than Expected,As Expected
503700,CAMP ORKILA,Non-Profit,INDEPENDENT,1,Not Available,0,0,,0,,Not Available,Not Available,Not Available,0,0,0,Not Available,Not Available,0,0,,0,,Not Available,Not Available
512300,WEST VIRGINIA UNIVERSITY HOSPITALS INC,Non-Profit,INDEPENDENT,10,Not Available,3,5,36,6,34,Not Available,As Expected,Not Available,3,14,11,Not Available,Not Available,6,6,39,1,1,Not Available,As Expected
512502,BMA - MARTINSBURG,Profit,FRESENIUS MEDICAL CARE,25,As Expected,79,99,949,102,978,As Expected,As Expected,As Expected,86,73,446,Better than Expected,As Expected,102,102,980,0,,Worse than Expected,As Expected
522539,FMC DIALYSIS - CHEQUAMEGON BAY,Profit,FRESENIUS MEDICAL CARE,12,As Expected,28,45,447,47,456,As Expected,As Expected,As Expected,29,34,129,As Expected,As Expected,40,40,391,0,,Not Available,As Expected
522540,FRESENIUS MEDICAL CARE MIDWEST RACINE,Profit,FRESENIUS MEDICAL CARE,17,As Expected,57,84,772,91,819,As Expected,As Expected,As Expected,64,59,231,As Expected,As Expected,91,91,819,0,,As Expected,As Expected
522542,FRESENIUS MEDICAL CARE MIDWEST GLENDALE,Profit,FRESENIUS MEDICAL CARE,17,As Expected,59,98,958,105,1002,Worse than Expected,As Expected,As Expected,66,126,288,Better than Expected,As Expected,102,102,976,0,,As Expected,As Expected
402555,THE RENAL CENTER OF GUAYNABO II,Profit,ATLANTIS HEALTHCARE GROUP,30,Worse than Expected,91,136,1341,139,1372,Worse than Expected,As Expected,Worse than Expected,108,166,367,As Expected,Worse than Expected,144,144,1391,0,,As Expected,As Expected
402556,ATLANTIS GUAYAMA,Profit,ATLANTIS HEALTHCARE GROUP,24,Worse than Expected,33,68,573,70,618,Worse than Expected,As Expected,As Expected,37,51,85,Better than Expected,As Expected,69,69,616,0,,As Expected,As Expected
422590,DCI PORT ROYAL,Non-Profit,"DIALYSIS CLINIC, INC.",17,As Expected,69,91,866,91,878,As Expected,As Expected,As Expected,82,100,337,Better than Expected,As Expected,83,83,795,0,,As Expected,As Expected
422591,ORANGEBURG DIALYSIS,Profit,FRESENIUS MEDICAL CARE,15,As Expected,80,99,974,105,992,As Expected,Worse than Expected,As Expected,87,90,410,As Expected,As Expected,91,91,843,0,,As Expected,As Expected
422592,DAVITA PAGELAND DIALYSIS,Profit,DAVITA,16,As Expected,37,44,421,47,434,As Expected,As Expected,As Expected,37,27,160,As Expected,As Expected,47,47,434,0,,Not Available,As Expected
392869,DAVITA HERITAGE LAKE DIALYSIS,Profit,DAVITA,9,Not Available,15,23,173,22,168,As Expected,As Expected,As Expected,18,28,29,As Expected,As Expected,24,24,174,0,,Not Available,As Expected
392870,"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",Profit,FRESENIUS MEDICAL CARE,13,As Expected,21,30,263,33,274,As Expected,As Expected,As Expected,25,38,41,As Expected,As Expected,32,32,280,0,,Not Available,As Expected
392871,DAVITA NORTH WALES DIALYSIS,Profit,DAVITA,13,Not Available,16,23,174,25,193,Worse than Expected,As Expected,Not Available,19,28,29,As Expected,As Expected,23,23,188,0,,Not Available,As Expected
392872,"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",Profit,FRESENIUS MEDICAL CARE,1,Not Available,12,29,193,30,206,As Expected,As Expected,As Expected,21,16,35,As Expected,As Expected,31,31,203,0,,Not Available,As Expected
392873,DAVITA FAIRMOUNT DIALYSIS,Profit,DAVITA,17,Not Available,13,25,197,29,218,As Expected,As Expected,Not Available,15,22,22,As Expected,As Expected,26,26,204,0,,Not Available,As Expected
392874,FREEDOM DIALYSIS LLC,Profit,"FREEDOM DIALYSIS, LLC",2,Not Available,34,73,250,82,228,As Expected,As Expected,Worse than Expected,49,66,52,Not Available,As Expected,80,80,269,0,,Not Available,As Expected
422637,"GREENVILLE DIALYSIS CLINIC, LLC",Profit,AMERICAN RENAL ASSOCIATES,20,Worse than Expected,26,111,1027,113,1057,As Expected,As Expected,As Expected,79,119,354,As Expected,As Expected,92,92,832,0,,As Expected,As Expected
422638,DAVITA GREER SOUTH HOME TRAINING (PD),Profit,DAVITA,0,As Expected,42,59,477,59,478,As Expected,As Expected,As Expected,43,34,163,Not Available,Not Available,5,5,59,0,,Not Available,Better than Expected
442556,DAVITA CLARKSVILLE DIALYSIS,Profit,DAVITA,14,Worse than Expected,50,75,642,79,684,As Expected,As Expected,As Expected,55,76,259,As Expected,As Expected,79,79,683,0,,As Expected,As Expected
442562,DCI PARIS,Non-Profit,"DIALYSIS CLINIC, INC.",16,Worse than Expected,64,84,706,87,744,As Expected,As Expected,As Expected,76,73,283,As Expected,As Expected,88,88,761,0,,Not Available,As Expected
442564,DCI MEDICAL CENTER,Non-Profit,"DIALYSIS CLINIC, INC.",37,As Expected,51,75,761,79,783,Better than Expected,As Expected,As Expected,58,52,233,Better than Expected,As Expected,79,79,784,0,,As Expected,As Expected
522543,DAVITA SOUTH RIDGE DIALYSIS,Profit,DAVITA,22,As Expected,69,106,966,109,995,As Expected,Better than Expected,As Expected,83,75,372,As Expected,As Expected,109,109,980,0,,As Expected,As Expected
522544,FRESENIUS MEDICAL CARE MIDWEST WEST BEND,Profit,FRESENIUS MEDICAL CARE,12,As Expected,49,69,562,74,590,As Expected,As Expected,As Expected,60,72,306,As Expected,As Expected,67,67,502,0,,Better than Expected,As Expected
522545,FRESENIUS MEDICAL CARE OSHKOSH LLC,Profit,FRESENIUS MEDICAL CARE,10,As Expected,23,32,269,37,267,As Expected,As Expected,Worse than Expected,26,18,138,As Expected,As Expected,37,37,279,0,,Not Available,As Expected
552506,FMC-IRWINDALE,Profit,FRESENIUS MEDICAL CARE,31,As Expected,78,165,1582,173,1649,Worse than Expected,As Expected,As Expected,80,79,275,Better than Expected,Better than Expected,172,172,1646,0,,As Expected,As Expected
552507,U.S. RENAL CARE SHERMAN OAKS DIALYSIS,Profit,"US RENAL CARE, INC.",18,Worse than Expected,76,132,974,144,1030,As Expected,Worse than Expected,As Expected,99,180,451,Better than Expected,As Expected,142,142,1001,0,,Not Available,As Expected
422593,NRA HOLLY HILL DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,16,As Expected,52,65,549,64,559,Worse than Expected,Worse than Expected,As Expected,55,66,220,As Expected,As Expected,65,65,573,0,,Not Available,As Expected
422594,BAMBERG DIALYSIS,Profit,FRESENIUS MEDICAL CARE,16,As Expected,66,85,808,84,808,As Expected,As Expected,As Expected,73,72,296,As Expected,As Expected,86,86,839,0,,As Expected,As Expected
422596,DAVITA GOOSE CREEK DIALYSIS,Profit,DAVITA,17,As Expected,66,94,854,97,876,As Expected,As Expected,As Expected,77,82,293,As Expected,As Expected,98,98,889,0,,As Expected,As Expected
432508,BLACK HILLS DIALYSIS - PINE RIDGE,Profit,INDEPENDENT,12,As Expected,56,74,695,78,708,As Expected,As Expected,As Expected,62,52,219,As Expected,As Expected,78,78,715,1,8,As Expected,As Expected
432514,SHARPS CORNER,Profit,INDEPENDENT,12,As Expected,34,55,483,54,487,As Expected,As Expected,As Expected,38,59,136,As Expected,Better than Expected,53,53,482,0,,As Expected,As Expected
422504,FRESENIUS MEDICAL CARE COLUMBIA,Profit,FRESENIUS MEDICAL CARE,30,Worse than Expected,108,142,1307,152,1338,As Expected,As Expected,As Expected,129,124,530,As Expected,As Expected,153,153,1335,0,,As Expected,As Expected
422505,FLORENCE DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,31,As Expected,99,128,1109,136,1162,As Expected,As Expected,As Expected,109,140,590,Better than Expected,Worse than Expected,137,137,1150,0,,As Expected,As Expected
422506,FMC ANDERSON DIALYSIS CLINIC,Profit,FRESENIUS MEDICAL CARE,48,As Expected,86,118,1089,120,1118,As Expected,As Expected,Worse than Expected,99,131,427,As Expected,Worse than Expected,120,120,1139,0,,Worse than Expected,As Expected
422508,DAVITA NORTH ORANGEBURG DIALYSIS,Profit,DAVITA,24,As Expected,110,144,1383,146,1408,As Expected,As Expected,As Expected,118,103,452,As Expected,As Expected,108,108,972,0,,As Expected,As Expected
422509,FRESENIUS MEDICAL CARE CAMDEN,Profit,FRESENIUS MEDICAL CARE,21,As Expected,67,88,817,90,852,As Expected,As Expected,As Expected,80,79,325,As Expected,As Expected,89,89,850,0,,As Expected,As Expected
442565,DCI HIXSON,Non-Profit,"DIALYSIS CLINIC, INC.",12,As Expected,34,51,411,58,449,As Expected,As Expected,As Expected,48,55,219,Better than Expected,As Expected,55,55,442,0,,Not Available,As Expected
442566,DCI DAYTON,Non-Profit,"DIALYSIS CLINIC, INC.",14,As Expected,49,62,599,68,632,As Expected,As Expected,As Expected,54,50,211,As Expected,As Expected,67,67,633,0,,As Expected,As Expected
442567,DAVITA APPALACHIAN DIALYSIS,Profit,DAVITA,14,As Expected,25,40,331,46,362,As Expected,As Expected,Worse than Expected,29,23,149,As Expected,As Expected,46,46,356,0,,Not Available,As Expected
392894,DAVITA DEDHAM DIALYSIS LLC,Profit,DAVITA,12,Not Available,1,1,3,1,2,Not Available,Not Available,Not Available,1,0,1,Not Available,Not Available,1,1,3,0,,Not Available,Not Available
392895,USRC SOUTH YORK LLC,Profit,"US RENAL CARE, INC.",13,Not Available,0,1,1,0,0,Not Available,Not Available,Not Available,0,0,0,Not Available,Not Available,1,1,1,0,,Not Available,Not Available
392896,DIALYSIS CARE CENTER LEBANON LLC,Profit,INDEPENDENT,14,Not Available,0,0,,0,,Not Available,Not Available,Not Available,0,0,0,Not Available,Not Available,0,0,,0,,Not Available,Not Available
552597,DAVITA SANTA FE SPRINGS DIALYSIS,Profit,DAVITA,16,As Expected,60,96,883,98,891,As Expected,As Expected,As Expected,69,86,259,As Expected,As Expected,95,95,884,0,,Not Available,As Expected
552598,FMC-RAI-GOLDENWEST-WESTMINSTER,Profit,FRESENIUS MEDICAL CARE,24,As Expected,106,191,1891,196,1912,As Expected,As Expected,As Expected,131,162,567,As Expected,As Expected,175,175,1661,0,,As Expected,As Expected
552599,DAVITA MORENO VALLEY,Profit,DAVITA,24,As Expected,77,129,1188,140,1223,As Expected,As Expected,As Expected,80,85,370,Better than Expected,As Expected,139,139,1245,0,,As Expected,As Expected
552600,WELLBOUND OF SAN LEANDRO LLC,Non-Profit,SATELLITE HEALTHCARE,0,As Expected,42,61,547,61,543,As Expected,As Expected,As Expected,45,34,199,Not Available,As Expected,20,20,148,0,,Not Available,Better than Expected
552601,U.S. RENAL CARE SIMI DIALYSIS CENTER,Profit,"US RENAL CARE, INC.",12,As Expected,50,78,668,83,697,As Expected,As Expected,As Expected,54,75,209,Better than Expected,As Expected,78,78,647,0,,As Expected,As Expected
432515,DAVITA MOCCASIN CREEK DIALYSIS,Profit,DAVITA,8,Not Available,14,17,121,16,129,As Expected,As Expected,As Expected,15,14,29,As Expected,As Expected,17,17,122,0,,Not Available,As Expected
432516,"FRESENIUS MEDICAL CARE DAKOTA DUNES, LLC",Profit,FRESENIUS MEDICAL CARE,5,As Expected,47,64,479,69,510,As Expected,As Expected,As Expected,52,47,113,Not Available,As Expected,23,23,167,0,,Not Available,As Expected
433502,MID-DAKOTA DIALYSIS OF SANFORD HEALTH,Non-Profit,SANFORD HEALTH,7,As Expected,19,22,183,27,196,As Expected,Not Available,As Expected,20,8,85,As Expected,As Expected,27,27,199,0,,Not Available,As Expected
433505,SISSETON SATELLITE DIALYSIS,Non-Profit,INDEPENDENT,7,As Expected,16,23,224,25,228,As Expected,As Expected,As Expected,17,13,68,As Expected,As Expected,25,25,231,0,,Not Available,As Expected
392851,"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",Profit,FRESENIUS MEDICAL CARE,17,Not Available,13,23,209,24,210,As Expected,As Expected,As Expected,16,13,49,As Expected,As Expected,20,20,187,0,,Not Available,As Expected
392852,DAVITA NEW KENSINGTON DIALYSIS,Profit,DAVITA,8,Not Available,9,14,102,16,111,Not Available,As Expected,Not Available,11,23,20,Not Available,As Expected,16,16,112,0,,Not Available,As Expected
422510,FRESENIUS MEDICAL CARE SUMTER,Profit,FRESENIUS MEDICAL CARE,53,Worse than Expected,141,204,1983,212,1970,As Expected,As Expected,As Expected,176,192,752,Better than Expected,Worse than Expected,212,212,2030,0,,Worse than Expected,As Expected
422615,"US RENAL CARE,INC",Profit,"US RENAL CARE, INC.",15,Worse than Expected,42,54,528,54,550,As Expected,As Expected,As Expected,48,75,182,Better than Expected,As Expected,55,55,549,0,,As Expected,As Expected
422616,DAVITA FOUNTAIN INN DIALYSIS,Profit,DAVITA,11,As Expected,32,44,426,47,442,As Expected,As Expected,As Expected,37,29,146,As Expected,As Expected,48,48,446,0,,Not Available,As Expected
422617,FRESENIUS MEDICAL CARE CHURCH STREET,Profit,FRESENIUS MEDICAL CARE,21,As Expected,64,84,771,89,794,As Expected,As Expected,As Expected,73,87,339,Better than Expected,As Expected,88,88,799,0,,As Expected,As Expected
422618,FRESENIUS MEDICAL CARE JOHNSONVILLE,Profit,FRESENIUS MEDICAL CARE,20,As Expected,40,52,513,56,536,As Expected,As Expected,As Expected,47,36,181,As Expected,As Expected,57,57,538,0,,As Expected,As Expected
393518,GMC OUTPATIENT DIALYSIS UNIT - JUSTIN DRIVE,Non-Profit,INDEPENDENT,21,As Expected,50,71,664,77,694,As Expected,As Expected,As Expected,53,55,237,As Expected,As Expected,77,77,683,0,,Not Available,As Expected
402305,CENTRO RENAL UNIVERSITARIO,Non-Profit,INDEPENDENT,34,As Expected,20,38,411,39,401,As Expected,As Expected,Worse than Expected,22,14,91,Worse than Expected,As Expected,39,39,419,0,,Not Available,As Expected
402312,PEDIATRIC RENAL CENTER,Non-Profit,INDEPENDENT,5,Not Available,4,10,77,12,89,Not Available,Not Available,Not Available,10,4,39,As Expected,Not Available,6,6,34,14,102,Worse than Expected,As Expected
402316,HOSPITAL METROPOLITANO CENTRO DE DIALYSIS,Profit,INDEPENDENT,15,Not Available,6,14,105,12,13,Not Available,As Expected,Not Available,9,14,10,Not Available,Worse than Expected,14,14,114,0,,Not Available,As Expected
422532,FRESENIUS MEDICAL CARE DILLON,Profit,FRESENIUS MEDICAL CARE,21,As Expected,79,93,920,97,936,As Expected,As Expected,Worse than Expected,86,137,363,As Expected,As Expected,96,96,928,0,,Worse than Expected,As Expected
422533,FRESENIUS MEDICAL CARE MONCKS CORNER,Profit,FRESENIUS MEDICAL CARE,25,As Expected,90,127,1222,134,1265,As Expected,As Expected,As Expected,100,116,409,As Expected,As Expected,135,135,1264,0,,As Expected,As Expected
552602,DAVITA SAN JOSE AT HOME,Profit,DAVITA,4,As Expected,23,30,236,30,230,As Expected,Worse than Expected,As Expected,24,22,98,Not Available,Not Available,3,3,31,0,,Not Available,Better than Expected
